qualifyId,raceId,driverId,driver_ref,constructorId,constructor_ref,number,position,q1,q2,q3,q1_ms,q2_ms,q3_ms,,
267,30,6,nakajima,9,red_bull,8,19,01:48.3,,NULL,108268,0,0,,
268,30,21,fisichella,9,red_bull,21,20,01:48.4,,NULL,108447,0,0,,
269,31,20,vettel,9,red_bull,15,1,01:35.5,01:35.8,01:37.6,95464,95837,97555,,
270,31,5,kovalainen,9,red_bull,23,2,01:35.2,01:35.8,01:37.6,95214,95843,97631,,
271,31,17,webber,9,red_bull,10,3,01:36.0,01:36.3,01:38.1,96001,96306,98117,,
272,31,7,bourdais,9,red_bull,14,4,01:35.5,01:36.2,01:38.4,95543,96175,98445,,
273,31,3,rosberg,9,red_bull,7,5,01:35.5,01:35.9,01:38.8,95485,95898,98767,,
274,31,13,massa,9,red_bull,2,6,01:35.5,01:36.7,01:38.9,95536,96676,98894,,
275,31,15,trulli,9,red_bull,11,7,01:35.9,01:36.0,01:39.2,95906,96008,99152,,
276,31,4,alonso,9,red_bull,5,8,01:36.3,01:36.5,01:39.8,96297,96518,99751,,
277,31,10,glock,9,red_bull,12,9,01:35.7,01:36.5,01:39.8,95737,96525,99787,,
278,31,2,heidfeld,9,red_bull,3,10,01:35.7,01:36.6,01:39.9,95709,96626,99906,,
279,31,9,kubica,9,red_bull,4,11,01:35.6,01:36.7,NULL,95553,96697,0,,
280,31,21,fisichella,9,red_bull,21,12,01:36.3,01:36.7,NULL,96280,96698,0,,
281,31,14,coulthard,9,red_bull,9,13,01:36.5,01:37.3,NULL,96485,97284,0,,
282,31,8,raikkonen,9,red_bull,1,14,01:36.0,01:37.5,NULL,95965,97522,0,,
283,31,1,hamilton,9,red_bull,22,15,01:35.4,01:39.3,NULL,95394,99265,0,,
284,31,22,barrichello,9,red_bull,17,16,01:36.5,,NULL,96510,0,0,,
285,31,12,piquet_jr,9,red_bull,6,17,01:36.6,,NULL,96630,0,0,,
286,31,6,nakajima,9,red_bull,8,18,01:36.7,,NULL,96653,0,0,,
287,31,18,button,9,red_bull,16,19,01:37.0,,NULL,97006,0,0,,
