raceId,year,round,circuitId,name,date,time,url,circuit_ref,country
164,2000,7,6,Monaco Grand Prix,6/4/2000,,http://en.wikipedia.org/wiki/2000_Monaco_Grand_Prix,monaco,Azerbaijan
165,2000,8,7,Canadian Grand Prix,6/18/2000,,http://en.wikipedia.org/wiki/2000_Canadian_Grand_Prix,villeneuve,Azerbaijan
166,2000,9,8,French Grand Prix,7/2/2000,,http://en.wikipedia.org/wiki/2000_French_Grand_Prix,magny_cours,Azerbaijan
167,2000,10,23,Austrian Grand Prix,7/16/2000,,http://en.wikipedia.org/wiki/2000_Austrian_Grand_Prix,osterreichring,Azerbaijan
168,2000,11,10,German Grand Prix,7/30/2000,,http://en.wikipedia.org/wiki/2000_German_Grand_Prix,hockenheimring,Azerbaijan
169,2000,12,11,Hungarian Grand Prix,8/13/2000,,http://en.wikipedia.org/wiki/2000_Hungarian_Grand_Prix,hungaroring,Azerbaijan
170,2000,13,13,Belgian Grand Prix,8/27/2000,,http://en.wikipedia.org/wiki/2000_Belgian_Grand_Prix,spa,Azerbaijan
171,2000,14,14,Italian Grand Prix,9/10/2000,,http://en.wikipedia.org/wiki/2000_Italian_Grand_Prix,monza,Azerbaijan
172,2000,15,19,United States Grand Prix,9/24/2000,,http://en.wikipedia.org/wiki/2000_United_States_Grand_Prix,indianapolis,Azerbaijan
173,2000,16,22,Japanese Grand Prix,10/8/2000,,http://en.wikipedia.org/wiki/2000_Japanese_Grand_Prix,suzuka,Azerbaijan
174,2000,17,2,Malaysian Grand Prix,10/22/2000,,http://en.wikipedia.org/wiki/2000_Malaysian_Grand_Prix,sepang,Azerbaijan
175,1999,1,1,Australian Grand Prix,3/7/1999,,http://en.wikipedia.org/wiki/1999_Australian_Grand_Prix,albert_park,Azerbaijan
176,1999,2,18,Brazilian Grand Prix,4/11/1999,,http://en.wikipedia.org/wiki/1999_Brazilian_Grand_Prix,interlagos,Azerbaijan
177,1999,3,21,San Marino Grand Prix,5/2/1999,,http://en.wikipedia.org/wiki/1999_San_Marino_Grand_Prix,imola,Azerbaijan
178,1999,4,6,Monaco Grand Prix,5/16/1999,,http://en.wikipedia.org/wiki/1999_Monaco_Grand_Prix,monaco,Azerbaijan
179,1999,5,4,Spanish Grand Prix,5/30/1999,,http://en.wikipedia.org/wiki/1999_Spanish_Grand_Prix,catalunya,Azerbaijan
180,1999,6,7,Canadian Grand Prix,6/13/1999,,http://en.wikipedia.org/wiki/1999_Canadian_Grand_Prix,villeneuve,Azerbaijan
